Year,Month,Day,Hour,Temp,Pressure,U10,V10,Ws,Wd,Rain
2018,1,1,0,  4.902,97973.719,  7.083,  1.830,  7.315,255.515,  0.000
2018,1,1,1,  3.938,97951.695,  6.536,  2.529,  7.008,248.846,  0.000
2018,1,1,2,  3.819,97881.875,  6.516,  2.340,  6.923,250.241,  0.000
2018,1,1,3,  3.680,97874.867,  6.094,  1.891,  6.380,252.756,  0.000
2018,1,1,4,  3.370,97875.938,  5.499,  1.461,  5.690,255.126,  0.000
2018,1,1,5,  2.771,97881.320,  4.451,  0.962,  4.554,257.799,  0.000
2018,1,1,6,  2.355,97867.477,  4.054,  0.659,  4.108,260.766,  0.000
2018,1,1,7,  3.481,97879.219,  5.303, -0.858,  5.372,279.189,  0.000
2018,1,1,8,  4.169,97991.523,  6.215, -1.635,  6.427,284.741,  0.000
2018,1,1,9,  3.932,98147.648,  5.285, -1.464,  5.484,285.483,  0.000
2018,1,1,10,  5.603,98314.141,  6.960, -2.836,  7.516,292.169,  0.000
2018,1,1,11,  6.897,98482.219,  7.380, -3.393,  8.123,294.688,  0.000
2018,1,1,12,  7.904,98640.016,  8.419, -5.235,  9.914,301.877,  0.000
2018,1,1,13,  8.131,98788.656,  8.786, -5.244, 10.232,300.832,  0.000
2018,1,1,14,  7.823,98856.555,  8.203, -5.379,  9.809,303.252,  0.000
2018,1,1,15,  6.923,98966.242,  6.817, -3.552,  7.687,297.524,  0.000
2018,1,1,16,  5.157,99060.352,  5.746, -1.773,  6.013,287.144,  0.000
2018,1,1,17,  4.524,99163.531,  6.444, -1.634,  6.648,284.231,  0.000
2018,1,1,18,  4.072,99269.648,  5.430, -1.311,  5.587,283.576,  0.000
2018,1,1,19,  2.707,99337.344,  4.062, -0.323,  4.075,274.543,  0.000
2018,1,1,20,  2.537,99336.930,  3.976,  0.060,  3.976,269.134,  0.000
2018,1,1,21,  3.280,99305.031,  3.318,  1.122,  3.503,251.321,  0.000
2018,1,1,22,  3.051,99283.969,  2.074,  1.567,  2.600,232.934,  0.000
2018,1,1,23,  3.169,99253.539,  1.384,  2.021,  2.449,214.404,  0.000
2018,1,2,0,  3.427,99235.023,  0.904,  2.247,  2.422,201.913,  0.000
2018,1,2,1,  5.434,99167.469,  0.516,  3.134,  3.176,189.343,  0.039
2018,1,2,2,  6.182,99056.156,  0.441,  3.449,  3.477,187.290,  0.097
2018,1,2,3,  7.110,98910.250,  1.815,  5.523,  5.814,198.191,  0.111
2018,1,2,4,  7.398,98795.914,  1.776,  4.801,  5.119,200.305,  0.306
2018,1,2,5,  8.220,98689.164,  2.951,  5.010,  5.814,210.505,  0.504
2018,1,2,6,  8.890,98597.773,  3.470,  5.018,  6.100,214.664,  0.621
2018,1,2,7,  9.419,98538.070,  4.654,  5.091,  6.898,222.433,  0.744
2018,1,2,8,  9.678,98509.898,  5.725,  4.701,  7.407,230.610,  0.750
2018,1,2,9,  9.556,98510.016,  6.510,  4.305,  7.804,236.523,  0.751
2018,1,2,10,  9.468,98482.695,  6.584,  4.430,  7.936,236.065,  0.751
2018,1,2,11,  9.389,98471.492,  6.652,  2.999,  7.296,245.732,  0.778
2018,1,2,12,  9.481,98436.125,  7.671,  4.990,  9.152,236.958,  1.306
2018,1,2,13,  9.460,98345.648,  7.237,  4.224,  8.380,239.728,  2.190
2018,1,2,14,  9.577,98220.008,  7.570,  3.835,  8.486,243.130,  3.278
2018,1,2,15,  9.824,98053.219,  8.987,  4.117,  9.885,245.386,  3.932
2018,1,2,16, 10.103,97884.570,  9.369,  2.422,  9.677,255.503,  4.929
2018,1,2,17, 10.238,97715.484, 10.701,  2.537, 10.997,256.665,  6.230
2018,1,2,18, 10.069,97550.523, 10.531,  1.721, 10.670,260.716,  6.704
2018,1,2,19,  9.301,97458.273, 11.684,  0.620, 11.700,266.962,  6.731
2018,1,2,20,  9.016,97464.023, 13.060,  0.675, 13.078,267.041,  6.773
2018,1,2,21,  8.119,97494.758, 11.128,  0.639, 11.146,266.711,  6.773
2018,1,2,22,  7.337,97553.945, 10.525,  0.563, 10.540,266.937,  6.773
2018,1,2,23,  6.814,97580.203, 10.767,  0.307, 10.771,268.365,  6.773
